hospName,topWait,updateTime
Yan Chai Hospital,Over 2 hours,29/10/2019 12:15am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 12:30am
Caritas Medical Centre,Over 1 hour,29/10/2019 12:30am
Kwong Wah Hospital,Over 2 hours,29/10/2019 12:30am
North District Hospital,Over 1 hour,29/10/2019 12:30am
North Lantau Hospital,Over 1 hour,29/10/2019 12:30am
Princess Margaret Hospital,Over 3 hours,29/10/2019 12:30am
Pok Oi Hospital,Over 6 hours,29/10/2019 12:30am
Prince of Wales Hospital,Over 5 hours,29/10/2019 12:30am
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,29/10/2019 12:30am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 12:30am
Queen Mary Hospital,Over 2 hours,29/10/2019 12:30am
Ruttonjee Hospital,Over 2 hours,29/10/2019 12:30am
St John Hospital,Around 1 hour,29/10/2019 12:30am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 12:30am
Tuen Mun Hospital,Over 7 hours,29/10/2019 12:30am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 12:30am
United Christian Hospital,Over 7 hours,29/10/2019 12:30am
Yan Chai Hospital,Over 2 hours,29/10/2019 12:30am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 12:45am
Caritas Medical Centre,Over 1 hour,29/10/2019 12:45am
Kwong Wah Hospital,Over 2 hours,29/10/2019 12:45am
North District Hospital,Over 1 hour,29/10/2019 12:45am
North Lantau Hospital,Over 1 hour,29/10/2019 12:45am
Princess Margaret Hospital,Over 3 hours,29/10/2019 12:45am
Pok Oi Hospital,Over 5 hours,29/10/2019 12:45am
Prince of Wales Hospital,Over 5 hours,29/10/2019 12:45am
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,29/10/2019 12:45am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 12:45am
Queen Mary Hospital,Over 2 hours,29/10/2019 12:45am
Ruttonjee Hospital,Over 2 hours,29/10/2019 12:45am
St John Hospital,Around 1 hour,29/10/2019 12:45am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 12:45am
Tuen Mun Hospital,Over 7 hours,29/10/2019 12:45am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 12:45am
United Christian Hospital,Over 7 hours,29/10/2019 12:45am
Yan Chai Hospital,Over 2 hours,29/10/2019 12:45am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 1:00am
Caritas Medical Centre,Over 1 hour,29/10/2019 1:00am
Kwong Wah Hospital,Over 2 hours,29/10/2019 1:00am
North District Hospital,Over 1 hour,29/10/2019 1:00am
North Lantau Hospital,Over 1 hour,29/10/2019 1:00am
Princess Margaret Hospital,Over 3 hours,29/10/2019 1:00am
Pok Oi Hospital,Over 5 hours,29/10/2019 1:00am
Prince of Wales Hospital,Over 5 hours,29/10/2019 1:00am
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,29/10/2019 1:00am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 1:00am
Queen Mary Hospital,Over 1 hour,29/10/2019 1:00am
Ruttonjee Hospital,Over 2 hours,29/10/2019 1:00am
St John Hospital,Around 1 hour,29/10/2019 1:00am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 1:00am
Tuen Mun Hospital,Over 7 hours,29/10/2019 1:00am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 1:00am
United Christian Hospital,Over 7 hours,29/10/2019 1:00am
Yan Chai Hospital,Over 2 hours,29/10/2019 1:00am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 1:15am
Caritas Medical Centre,Over 1 hour,29/10/2019 1:15am
Kwong Wah Hospital,Over 2 hours,29/10/2019 1:15am
North District Hospital,Over 1 hour,29/10/2019 1:15am
North Lantau Hospital,Around 1 hour,29/10/2019 1:15am
Princess Margaret Hospital,Over 3 hours,29/10/2019 1:15am
Pok Oi Hospital,Over 5 hours,29/10/2019 1:15am
Prince of Wales Hospital,Over 5 hours,29/10/2019 1:15am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 1:15am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 1:15am
Queen Mary Hospital,Over 1 hour,29/10/2019 1:15am
Ruttonjee Hospital,Over 2 hours,29/10/2019 1:15am
St John Hospital,Around 1 hour,29/10/2019 1:15am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 1:15am
Tuen Mun Hospital,Over 7 hours,29/10/2019 1:15am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 1:15am
United Christian Hospital,Over 7 hours,29/10/2019 1:15am
Yan Chai Hospital,Over 3 hours,29/10/2019 1:15am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 1:30am
Caritas Medical Centre,Over 2 hours,29/10/2019 1:30am
Kwong Wah Hospital,Over 2 hours,29/10/2019 1:30am
North District Hospital,Over 1 hour,29/10/2019 1:30am
North Lantau Hospital,Around 1 hour,29/10/2019 1:30am
Princess Margaret Hospital,Over 3 hours,29/10/2019 1:30am
Pok Oi Hospital,Over 5 hours,29/10/2019 1:30am
Prince of Wales Hospital,Over 5 hours,29/10/2019 1:30am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 1:30am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 1:30am
Queen Mary Hospital,Over 1 hour,29/10/2019 1:30am
Ruttonjee Hospital,Over 2 hours,29/10/2019 1:30am
St John Hospital,Around 1 hour,29/10/2019 1:30am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 1:30am
Tuen Mun Hospital,Over 7 hours,29/10/2019 1:30am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 1:30am
United Christian Hospital,Over 7 hours,29/10/2019 1:30am
Yan Chai Hospital,Over 3 hours,29/10/2019 1:30am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 1:45am
Caritas Medical Centre,Over 2 hours,29/10/2019 1:45am
Kwong Wah Hospital,Over 4 hours,29/10/2019 1:45am
North District Hospital,Over 1 hour,29/10/2019 1:45am
North Lantau Hospital,Around 1 hour,29/10/2019 1:45am
Princess Margaret Hospital,Over 3 hours,29/10/2019 1:45am
Pok Oi Hospital,Over 5 hours,29/10/2019 1:45am
Prince of Wales Hospital,Over 5 hours,29/10/2019 1:45am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 1:45am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 1:45am
Queen Mary Hospital,Over 2 hours,29/10/2019 1:45am
Ruttonjee Hospital,Over 2 hours,29/10/2019 1:45am
St John Hospital,Around 1 hour,29/10/2019 1:45am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 1:45am
Tuen Mun Hospital,Over 7 hours,29/10/2019 1:45am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 1:45am
United Christian Hospital,Over 5 hours,29/10/2019 1:45am
Yan Chai Hospital,Over 3 hours,29/10/2019 1:45am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 2:00am
Caritas Medical Centre,Over 2 hours,29/10/2019 2:00am
Kwong Wah Hospital,Over 4 hours,29/10/2019 2:00am
North District Hospital,Over 1 hour,29/10/2019 2:00am
North Lantau Hospital,Around 1 hour,29/10/2019 2:00am
Princess Margaret Hospital,Over 2 hours,29/10/2019 2:00am
Pok Oi Hospital,Over 5 hours,29/10/2019 2:00am
Prince of Wales Hospital,Over 5 hours,29/10/2019 2:00am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 2:00am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 2:00am
Queen Mary Hospital,Over 2 hours,29/10/2019 2:00am
Ruttonjee Hospital,Over 2 hours,29/10/2019 2:00am
St John Hospital,Around 1 hour,29/10/2019 2:00am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 2:00am
Tuen Mun Hospital,Over 7 hours,29/10/2019 2:00am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 2:00am
United Christian Hospital,Over 6 hours,29/10/2019 2:00am
Yan Chai Hospital,Over 3 hours,29/10/2019 2:00am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 2:15am
Caritas Medical Centre,Over 2 hours,29/10/2019 2:15am
Kwong Wah Hospital,Over 4 hours,29/10/2019 2:15am
North District Hospital,Over 1 hour,29/10/2019 2:15am
North Lantau Hospital,Around 1 hour,29/10/2019 2:15am
Princess Margaret Hospital,Over 2 hours,29/10/2019 2:15am
Pok Oi Hospital,Over 5 hours,29/10/2019 2:15am
Prince of Wales Hospital,Over 5 hours,29/10/2019 2:15am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 2:15am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 2:15am
Queen Mary Hospital,Over 1 hour,29/10/2019 2:15am
Ruttonjee Hospital,Over 2 hours,29/10/2019 2:15am
St John Hospital,Around 1 hour,29/10/2019 2:15am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 2:15am
Tuen Mun Hospital,Over 7 hours,29/10/2019 2:15am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 2:15am
United Christian Hospital,Over 6 hours,29/10/2019 2:15am
Yan Chai Hospital,Over 3 hours,29/10/2019 2:15am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 2:30am
Caritas Medical Centre,Over 2 hours,29/10/2019 2:30am
Kwong Wah Hospital,Over 4 hours,29/10/2019 2:30am
North District Hospital,Over 1 hour,29/10/2019 2:30am
North Lantau Hospital,Around 1 hour,29/10/2019 2:30am
Princess Margaret Hospital,Over 2 hours,29/10/2019 2:30am
Pok Oi Hospital,Over 5 hours,29/10/2019 2:30am
Prince of Wales Hospital,Over 5 hours,29/10/2019 2:30am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 2:30am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 2:30am
Queen Mary Hospital,Over 1 hour,29/10/2019 2:30am
Ruttonjee Hospital,Over 2 hours,29/10/2019 2:30am
St John Hospital,Around 1 hour,29/10/2019 2:30am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 2:30am
Tuen Mun Hospital,Over 7 hours,29/10/2019 2:30am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 2:30am
United Christian Hospital,Over 6 hours,29/10/2019 2:30am
Yan Chai Hospital,Over 3 hours,29/10/2019 2:30am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 2:45am
Caritas Medical Centre,Over 2 hours,29/10/2019 2:45am
Kwong Wah Hospital,Over 6 hours,29/10/2019 2:45am
North District Hospital,Around 1 hour,29/10/2019 2:45am
North Lantau Hospital,Around 1 hour,29/10/2019 2:45am
Princess Margaret Hospital,Over 2 hours,29/10/2019 2:45am
Pok Oi Hospital,Over 5 hours,29/10/2019 2:45am
Prince of Wales Hospital,Over 4 hours,29/10/2019 2:45am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 2:45am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 2:45am
Queen Mary Hospital,Over 1 hour,29/10/2019 2:45am
Ruttonjee Hospital,Over 2 hours,29/10/2019 2:45am
St John Hospital,Around 1 hour,29/10/2019 2:45am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 2:45am
Tuen Mun Hospital,Over 7 hours,29/10/2019 2:45am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 2:45am
United Christian Hospital,Over 6 hours,29/10/2019 2:45am
Yan Chai Hospital,Over 3 hours,29/10/2019 2:45am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 3:00am
Caritas Medical Centre,Over 2 hours,29/10/2019 3:00am
Kwong Wah Hospital,Over 5 hours,29/10/2019 3:00am
North District Hospital,Over 3 hours,29/10/2019 3:00am
North Lantau Hospital,Over 1 hour,29/10/2019 3:00am
Princess Margaret Hospital,Over 3 hours,29/10/2019 3:00am
Pok Oi Hospital,Over 5 hours,29/10/2019 3:00am
Prince of Wales Hospital,Over 5 hours,29/10/2019 3:00am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 3:00am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 3:00am
Queen Mary Hospital,Over 3 hours,29/10/2019 3:00am
Ruttonjee Hospital,Over 2 hours,29/10/2019 3:00am
St John Hospital,Around 1 hour,29/10/2019 3:00am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 3:00am
Tuen Mun Hospital,Over 7 hours,29/10/2019 3:00am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 3:00am
United Christian Hospital,Over 7 hours,29/10/2019 3:00am
Yan Chai Hospital,Over 3 hours,29/10/2019 3:00am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 3:15am
Caritas Medical Centre,Over 2 hours,29/10/2019 3:15am
Kwong Wah Hospital,Over 5 hours,29/10/2019 3:15am
North District Hospital,Over 2 hours,29/10/2019 3:15am
North Lantau Hospital,Over 1 hour,29/10/2019 3:15am
Princess Margaret Hospital,Over 3 hours,29/10/2019 3:15am
Pok Oi Hospital,Over 5 hours,29/10/2019 3:15am
Prince of Wales Hospital,Over 5 hours,29/10/2019 3:15am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 3:15am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 3:15am
Queen Mary Hospital,Over 3 hours,29/10/2019 3:15am
Ruttonjee Hospital,Over 2 hours,29/10/2019 3:15am
St John Hospital,Around 1 hour,29/10/2019 3:15am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 3:15am
Tuen Mun Hospital,Over 7 hours,29/10/2019 3:15am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 3:15am
United Christian Hospital,Over 7 hours,29/10/2019 3:15am
Yan Chai Hospital,Over 3 hours,29/10/2019 3:15am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 3:30am
Caritas Medical Centre,Over 2 hours,29/10/2019 3:30am
Kwong Wah Hospital,Over 5 hours,29/10/2019 3:30am
North District Hospital,Over 1 hour,29/10/2019 3:30am
North Lantau Hospital,Over 1 hour,29/10/2019 3:30am
Princess Margaret Hospital,Over 3 hours,29/10/2019 3:30am
Pok Oi Hospital,Over 5 hours,29/10/2019 3:30am
Prince of Wales Hospital,Over 5 hours,29/10/2019 3:30am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 3:30am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 3:30am
Queen Mary Hospital,Over 2 hours,29/10/2019 3:30am
Ruttonjee Hospital,Over 2 hours,29/10/2019 3:30am
St John Hospital,Around 1 hour,29/10/2019 3:30am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 3:30am
Tuen Mun Hospital,Over 7 hours,29/10/2019 3:30am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 3:30am
United Christian Hospital,Over 6 hours,29/10/2019 3:30am
Yan Chai Hospital,Over 3 hours,29/10/2019 3:30am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 3:45am
Caritas Medical Centre,Over 2 hours,29/10/2019 3:45am
Kwong Wah Hospital,Over 5 hours,29/10/2019 3:45am
North District Hospital,Over 1 hour,29/10/2019 3:45am
North Lantau Hospital,Over 1 hour,29/10/2019 3:45am
Princess Margaret Hospital,Over 3 hours,29/10/2019 3:45am
Pok Oi Hospital,Over 5 hours,29/10/2019 3:45am
Prince of Wales Hospital,Over 5 hours,29/10/2019 3:45am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 3:45am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 3:45am
Queen Mary Hospital,Over 2 hours,29/10/2019 3:45am
Ruttonjee Hospital,Over 2 hours,29/10/2019 3:45am
St John Hospital,Around 1 hour,29/10/2019 3:45am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 3:45am
Tuen Mun Hospital,Over 7 hours,29/10/2019 3:45am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 3:45am
United Christian Hospital,Over 6 hours,29/10/2019 3:45am
Yan Chai Hospital,Over 3 hours,29/10/2019 3:45am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 4:00am
Caritas Medical Centre,Over 2 hours,29/10/2019 4:00am
Kwong Wah Hospital,Over 5 hours,29/10/2019 4:00am
North District Hospital,Over 1 hour,29/10/2019 4:00am
North Lantau Hospital,Around 1 hour,29/10/2019 4:00am
Princess Margaret Hospital,Over 3 hours,29/10/2019 4:00am
Pok Oi Hospital,Over 5 hours,29/10/2019 4:00am
Prince of Wales Hospital,Over 5 hours,29/10/2019 4:00am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 4:00am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 4:00am
Queen Mary Hospital,Over 1 hour,29/10/2019 4:00am
Ruttonjee Hospital,Over 2 hours,29/10/2019 4:00am
St John Hospital,Around 1 hour,29/10/2019 4:00am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 4:00am
Tuen Mun Hospital,Over 7 hours,29/10/2019 4:00am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 4:00am
United Christian Hospital,Over 6 hours,29/10/2019 4:00am
Yan Chai Hospital,Over 3 hours,29/10/2019 4:00am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 4:15am
Caritas Medical Centre,Over 2 hours,29/10/2019 4:15am
Kwong Wah Hospital,Over 5 hours,29/10/2019 4:15am
North District Hospital,Over 1 hour,29/10/2019 4:15am
North Lantau Hospital,Around 1 hour,29/10/2019 4:15am
Princess Margaret Hospital,Over 2 hours,29/10/2019 4:15am
Pok Oi Hospital,Over 5 hours,29/10/2019 4:15am
Prince of Wales Hospital,Over 5 hours,29/10/2019 4:15am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 4:15am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 4:15am
Queen Mary Hospital,Over 1 hour,29/10/2019 4:15am
Ruttonjee Hospital,Over 2 hours,29/10/2019 4:15am
St John Hospital,Around 1 hour,29/10/2019 4:15am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 4:15am
Tuen Mun Hospital,Over 7 hours,29/10/2019 4:15am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 4:15am
United Christian Hospital,Over 6 hours,29/10/2019 4:15am
Yan Chai Hospital,Over 3 hours,29/10/2019 4:15am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 4:30am
Caritas Medical Centre,Over 2 hours,29/10/2019 4:30am
Kwong Wah Hospital,Over 6 hours,29/10/2019 4:30am
North District Hospital,Over 1 hour,29/10/2019 4:30am
North Lantau Hospital,Around 1 hour,29/10/2019 4:30am
Princess Margaret Hospital,Over 2 hours,29/10/2019 4:30am
Pok Oi Hospital,Over 5 hours,29/10/2019 4:30am
Prince of Wales Hospital,Over 5 hours,29/10/2019 4:30am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 4:30am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 4:30am
Queen Mary Hospital,Over 1 hour,29/10/2019 4:30am
Ruttonjee Hospital,Over 2 hours,29/10/2019 4:30am
St John Hospital,Around 1 hour,29/10/2019 4:30am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 4:30am
Tuen Mun Hospital,Over 7 hours,29/10/2019 4:30am
Tin Shui Wai Hospital,Over 4 hours,29/10/2019 4:30am
United Christian Hospital,Over 7 hours,29/10/2019 4:30am
Yan Chai Hospital,Over 3 hours,29/10/2019 4:30am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 4:45am
Caritas Medical Centre,Over 2 hours,29/10/2019 4:45am
Kwong Wah Hospital,Over 6 hours,29/10/2019 4:45am
North District Hospital,Over 1 hour,29/10/2019 4:45am
North Lantau Hospital,Around 1 hour,29/10/2019 4:45am
Princess Margaret Hospital,Over 2 hours,29/10/2019 4:45am
Pok Oi Hospital,Over 5 hours,29/10/2019 4:45am
Prince of Wales Hospital,Over 5 hours,29/10/2019 4:45am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 4:45am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 4:45am
Queen Mary Hospital,Over 1 hour,29/10/2019 4:45am
Ruttonjee Hospital,Over 2 hours,29/10/2019 4:45am
St John Hospital,Around 1 hour,29/10/2019 4:45am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 4:45am
Tuen Mun Hospital,Over 7 hours,29/10/2019 4:45am
Tin Shui Wai Hospital,Over 4 hours,29/10/2019 4:45am
United Christian Hospital,Over 6 hours,29/10/2019 4:45am
Yan Chai Hospital,Over 3 hours,29/10/2019 4:45am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 5:00am
Caritas Medical Centre,Over 2 hours,29/10/2019 5:00am
Kwong Wah Hospital,Over 6 hours,29/10/2019 5:00am
North District Hospital,Over 1 hour,29/10/2019 5:00am
North Lantau Hospital,Around 1 hour,29/10/2019 5:00am
Princess Margaret Hospital,Over 2 hours,29/10/2019 5:00am
Pok Oi Hospital,Over 5 hours,29/10/2019 5:00am
Prince of Wales Hospital,Over 5 hours,29/10/2019 5:00am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 5:00am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 5:00am
Queen Mary Hospital,Over 1 hour,29/10/2019 5:00am
Ruttonjee Hospital,Over 2 hours,29/10/2019 5:00am
St John Hospital,Around 1 hour,29/10/2019 5:00am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 5:00am
Tuen Mun Hospital,Over 7 hours,29/10/2019 5:00am
Tin Shui Wai Hospital,Over 4 hours,29/10/2019 5:00am
United Christian Hospital,Over 6 hours,29/10/2019 5:00am
Yan Chai Hospital,Over 3 hours,29/10/2019 5:00am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 5:15am
Caritas Medical Centre,Over 2 hours,29/10/2019 5:15am
Kwong Wah Hospital,Over 6 hours,29/10/2019 5:15am
North District Hospital,Over 1 hour,29/10/2019 5:15am
North Lantau Hospital,Around 1 hour,29/10/2019 5:15am
Princess Margaret Hospital,Over 2 hours,29/10/2019 5:15am
Pok Oi Hospital,Over 5 hours,29/10/2019 5:15am
Prince of Wales Hospital,Over 5 hours,29/10/2019 5:15am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 5:15am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 5:15am
Queen Mary Hospital,Over 1 hour,29/10/2019 5:15am
Ruttonjee Hospital,Over 2 hours,29/10/2019 5:15am
St John Hospital,Around 1 hour,29/10/2019 5:15am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 5:15am
Tuen Mun Hospital,Over 7 hours,29/10/2019 5:15am
Tin Shui Wai Hospital,Over 4 hours,29/10/2019 5:15am
United Christian Hospital,Over 6 hours,29/10/2019 5:15am
Yan Chai Hospital,Over 3 hours,29/10/2019 5:15am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 5:30am
Caritas Medical Centre,Over 2 hours,29/10/2019 5:30am
Kwong Wah Hospital,Over 6 hours,29/10/2019 5:30am
North District Hospital,Over 1 hour,29/10/2019 5:30am
North Lantau Hospital,Around 1 hour,29/10/2019 5:30am
Princess Margaret Hospital,Over 2 hours,29/10/2019 5:30am
Pok Oi Hospital,Over 5 hours,29/10/2019 5:30am
Prince of Wales Hospital,Over 5 hours,29/10/2019 5:30am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 5:30am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 5:30am
Queen Mary Hospital,Over 1 hour,29/10/2019 5:30am
Ruttonjee Hospital,Over 2 hours,29/10/2019 5:30am
St John Hospital,Around 1 hour,29/10/2019 5:30am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 5:30am
Tuen Mun Hospital,Over 7 hours,29/10/2019 5:30am
Tin Shui Wai Hospital,Over 4 hours,29/10/2019 5:30am
United Christian Hospital,Over 6 hours,29/10/2019 5:30am
